sample_id	id_precol
1	PC-M-281
2	PC-M-360
3	PC-M-355
4	PC-M-359
5	PC-M-330
6	PC-M-336
7	PC-M-305
8	PC-M-317
9	PC-M-185
10	PC-M-300
11	PC-M-291
12	PC-M-331
13	PC-M-244
14	PC-M-250
15	PC-M-258
16	PC-M-278
17	PC-M-259
18	PC-M-263
19	PC-M-266
20	PC-M-333
21	PC-M-282
22	PC-M-279
23	PC-M-268
24	PC-M-280
25	PC-M-218
26	PC-M-329
27	PC-M-225
28	PC-M-209
29	PC-M-192
30	PC-M-327
31	PC-M-334
32	PC-M-271
33	PC-M-270
34	PC-M-335
35	PC-M-351
36	PC-M-265
37	PC-M-220
38	PC-M-221
39	PC-M-274
40	PC-M-275
41	PC-M-214
42	PC-M-213
43	PC-M-356
44	PC-M-353
45	PC-M-217
46	PC-M-216
47	PC-M-215
48	PC-M-214
49	PC-M-312
50	PC-M-347
51	PC-M-322
52	PC-M-342
53	PC-M-308
54	PC-M-332
55	PC-M-301
56	PC-M-320
57	PC-M-318
58	PC-M-226
59	PC-M-223
60	PC-M-236
61	PC-M-230
62	PC-M-229
63	PC-M-234
64	PC-M-231
65	PC-M-235
66	PC-M-357
67	PC-M-358
68	PC-M-354
69	PC-M-340
70	PC-M-339
71	PC-M-338
72	PC-M-337
73	PC-M-323
74	PC-M-208
75	PC-M-313
76	PC-M-321
77	PC-M-326
78	PC-M-309
79	PC-M-328
80	PC-M-314
81	PC-M-324
82	PC-M-212
83	PC-M-228
84	PC-M-178
85	PC-M-264
86	PC-M-273
87	PC-M-346
88	PC-M-345
89	PC-M-269
90	PC-M-344
91	PC-M-343
92	PC-M-272
93	PC-M-276
94	PC-M-277
95	PC-M-206
96	PC-M-219
97	PC-M-169
98	PC-M-140
99	PC-M-166
100	PC-M-141
101	PC-M-015
102	PC-M-142
103	PC-M-157
104	PC-M-151
105	PC-M-152
106	PC-M-020
107	PC-M-154
108	PC-M-167
109	PC-M-165
110	PC-M-127
111	PC-M-143
112	PC-M-145
113	PC-M-149
114	PC-M-133
115	PC-M-171
116	PC-M-132
117	PC-M-134
118	PC-M-159
119	PC-M-173
120	PC-M-176
121	PC-M-172
122	PC-M-175
123	PC-M-341
124	PC-M-290
125	PC-M-283
126	PC-M-135
127	PC-M-190
128	PC-M-136
129	PC-M-124
130	PC-M-155
131	PC-M-138
132	PC-M-352
133	PC-M-177
134	PC-M-181
135	PC-M-180
136	PC-M-187
137	PC-M-188
138	PC-M-021
139	PC-M-118
140	PC-M-184
141	PC-M-293
142	PC-M-161
143	PC-M-104
144	PC-M-350
145	PC-M-349
146	PC-M-162
147	PC-M-179
148	PC-M-112
149	PC-M-203
150	PC-M-200
151	PC-M-189
152	PC-M-137
153	PC-M-222
154	PC-M-168
155	PC-M-139
156	PC-M-062
157	PC-M-182
158	PC-M-205
159	PC-M-198
160	PC-M-186
161	PC-M-201
162	PC-M-194
163	PC-M-191
164	PC-M-207
165	PC-M-193
166	PC-M-199
167	PC-M-197
168	PC-M-144
169	PC-M-325
170	PC-M-261
171	PC-M-183
172	PC-M-146
173	PC-M-147
174	PC-M-150
175	PC-M-156
176	PC-M-348
177	PC-M-158
178	PC-M-174
