input	filtered	denoisedF	denoisedR	merged	nonchim
100	51456	41597	41209	41051	39743	39176
101	68244	56341	55309	55452	51407	49522
102	63997	48456	47765	47776	45167	44987
103	64719	49706	48972	49008	46224	45896
104	54367	40935	40455	40395	38534	37002
105	62297	50896	50423	50337	48200	46971
106	76112	60768	59790	59927	56122	53969
107	55641	42884	42143	42257	39274	37136
108	60657	48306	47394	47595	43894	40428
109	63299	51143	50295	50302	46577	46358
10	43963	35339	34843	34844	32717	32482
110	81241	64768	63777	63717	59852	56827
111	68459	55669	54583	54596	50290	48779
112	64909	52954	52440	52495	49834	47428
113	81343	67767	66802	66713	62988	61107
114	60615	47253	46809	46486	44358	44339
115	64639	51279	50609	50559	47990	47607
116	66430	53878	52970	53045	49364	48270
117	67888	55421	54930	54775	52507	50907
118	62662	50520	49919	49949	47224	45602
119	66460	54279	53486	53483	49897	46691
11	67223	52798	51813	51937	47008	45800
120	69496	56652	55607	55822	51582	50013
121	95475	73672	72775	72543	69317	68960
122	126509	99262	98304	98385	94351	92535
123	118158	95033	93902	93836	89442	88551
124	92528	77959	77016	76920	72631	70669
125	88421	75181	74024	74206	69310	67093
126	87517	71553	70795	70807	67900	64854
127	102697	84463	83696	83579	79171	76027
128	89576	74036	72916	73060	67535	61770
129	75289	64254	63335	63377	59157	56878
12	69646	55691	55071	54918	51638	49915
130	111209	82835	82157	82111	80220	78557
131	91009	74943	73816	73925	68785	63183
132	94147	78766	77583	77731	71414	65579
133	95258	73321	72331	72319	68543	67362
134	75215	57560	56855	56668	52958	52449
135	58874	44175	43454	43504	40203	39965
136	87190	71267	70432	70556	67008	64040
137	72567	56751	56046	56078	53753	53674
138	77195	57080	56354	56367	53335	52253
139	83624	64267	63264	63447	59706	59218
13	65336	52470	51696	51640	46961	44530
140	59605	45147	44657	44517	42279	42007
141	61671	49116	48480	48543	46118	45851
142	108266	85111	84413	84321	82122	80124
143	77051	59151	58127	58175	53190	52068
144	62118	48455	47825	47845	45096	44675
145	109355	86882	85733	85547	80512	79442
146	125068	102366	100865	100805	93793	89172
147	111467	87460	86594	86344	83063	81297
148	98638	81264	80454	80428	77095	74230
149	91806	75364	74291	74275	69893	68309
14	65143	52461	51805	51721	48646	46011
150	99888	83568	82559	82471	77013	74815
151	117487	98486	97042	97143	90684	86353
152	102379	86073	85255	85305	80594	74366
153	98577	82059	81153	81090	77194	75282
154	119222	97230	96415	96134	91179	84841
155	89795	76190	75494	75457	71137	68785
156	83989	68347	67365	67299	63110	61647
157	81738	62850	62091	62053	58666	56681
158	59411	45222	44740	44649	42871	42669
159	67945	51779	51070	51072	47876	44268
15	48805	38322	37662	37642	34727	34454
160	80938	65273	64632	64475	62338	62296
161	87720	70949	70009	69926	66452	65771
162	69980	51756	50820	50888	47521	46825
163	61297	46564	46035	46061	44193	43915
164	61660	46538	45991	45959	43379	42376
165	75507	59559	58611	58626	55081	54746
166	92836	72507	71518	71466	67550	66239
167	65071	49317	48390	48582	45373	44979
168	60274	46183	45371	45272	42017	41571
169	84691	70176	68889	69005	63723	60344
16	62163	50806	50095	50189	47614	45724
170	104887	87552	86243	86308	80633	76888
171	73133	57452	56871	56766	54910	54019
172	87541	74074	72779	72993	67759	65063
173	90752	76355	75153	75137	70475	67849
174	90072	74253	73349	73239	69299	65864
175	76133	62121	61331	61320	58642	58080
176	92523	73906	73154	72985	70065	67596
177	94500	79101	77813	77991	73133	70972
178	99864	78733	78013	77799	74731	73844
179	80701	64564	63640	63565	59750	58939
17	71376	57025	55721	55947	51079	49688
180	72390	59801	58576	58772	54981	53805
181	95703	76184	75210	75210	70973	68917
182	91502	73777	72770	72592	68633	64557
183	88282	71807	70675	70804	66260	61983
184	80297	66492	65372	65499	61061	55781
185	87000	73022	71777	71814	66782	63434
186	105723	86613	85566	85506	81222	77010
187	83196	62655	61838	61989	59922	59214
188	74773	62148	61162	61342	56775	52499
189	89319	74961	73957	73998	69695	66470
18	62765	51453	50875	50659	47531	46817
190	100228	82601	81529	81633	77179	74883
191	71916	57094	56447	56399	53826	49946
192	74964	59768	59160	58981	56402	55111
193	98896	78891	77548	77818	71486	61327
194	61516	48240	47177	47295	43266	42722
195	72443	57875	56626	56759	51673	49629
196	80567	60136	59200	59242	54704	50592
197	66223	47807	46907	47087	44131	42140
198	67176	53355	52436	52499	48255	46558
199	61128	47384	46464	46617	43507	42398
19	51125	40503	40110	39992	38660	38239
1	66064	49512	48995	48921	46732	44566
200	74986	55521	54352	54579	51059	50324
201	79324	61807	61039	61047	57819	54822
202	73370	59452	58242	58410	53023	49319
203	66113	50472	49382	49454	45462	44318
204	16367	9512	9186	9298	8402	8228
205	67169	52807	51911	51954	48770	47072
206	66570	54731	53817	53845	50138	47010
207	76039	61071	59790	59957	55511	53748
208	78750	63438	62164	62190	57082	52112
209	62447	50854	49760	49869	45000	42887
20	59754	48805	47840	47809	43397	42663
210	66124	54861	53464	53615	48027	45684
211	74250	61231	60152	60258	55831	51329
212	76283	62127	60984	61088	56055	52672
213	58896	46862	45909	45943	42513	40673
214	74585	59925	58645	58762	54944	54565
215	69838	55997	54997	55034	51032	48864
216	85407	66516	65546	65592	62162	60868
217	121995	98129	96524	96731	91016	87590
218	77938	64453	63372	63453	59069	57287
219	98338	77555	76408	76386	72582	71357
21	59228	45830	45425	45347	43255	42710
220	92868	74613	73207	73138	66559	64857
221	95824	73696	72181	72194	66705	65493
222	77579	62911	62002	61997	58347	57494
223	74283	61441	60364	60496	56185	52418
224	107363	86665	85070	85154	78287	72854
225	84395	70558	69284	69331	64011	59675
226	126376	104436	103488	103404	99277	89214
227	95311	78075	76527	76578	70634	69636
228	125957	99387	98451	98239	93646	91136
229	107561	84099	82494	82530	76427	75568
22	40924	33365	32736	32708	29490	29029
230	56362	44998	44367	44211	41114	40106
231	81402	64173	62788	63055	57675	55352
232	72613	54948	53615	53693	48925	46453
233	92012	69609	68518	68549	64298	62337
234	71721	57499	56456	56489	51556	49589
235	53537	39774	38947	39114	36234	35360
236	72345	55355	54078	54331	49469	48049
237	84790	69776	68790	68862	64896	59975
238	90687	72316	71042	71071	65442	62780
239	78742	61741	60560	60744	55644	52971
23	67899	55008	54445	54233	51639	50979
240	104101	81699	80244	80233	73782	70152
241	135852	110094	108718	108639	102098	92825
242	76013	63374	62231	61958	56269	54397
243	113160	92372	90855	91138	85270	79996
244	115084	92148	90836	90826	83466	77727
245	114785	90370	89241	89127	83823	76597
246	85040	69407	68153	68342	63800	60445
247	90064	71780	70824	70748	67145	64509
248	104873	86041	84472	84567	78104	74807
249	90975	73216	71661	71716	66596	65519
24	60699	50327	49650	49662	46087	44979
250	127358	106442	105249	105181	98980	92182
251	103313	84734	83256	83423	77218	70894
252	141486	117777	115798	116043	106903	98762
253	112524	85264	83804	83948	79087	77085
254	74284	62041	61390	61208	57665	54877
255	75590	59351	57838	58340	53106	51349
256	94355	69294	68076	68250	63653	61493
257	74251	55400	54216	54317	50186	49200
258	63592	48745	47903	47994	45128	44260
259	60499	47286	46247	46346	42952	41370
25	99123	78484	77523	77435	73430	71930
260	86344	65294	64261	64274	60005	57964
261	86809	69540	68701	68744	65321	57874
262	72886	55239	54426	54495	51462	47490
263	72820	56494	55306	55555	51386	50209
264	94519	73072	71977	71966	67259	63588
265	125881	105785	104150	104087	96072	90423
266	71544	59738	58628	58702	53695	49791
267	98727	81894	80876	80844	76102	71807
268	112030	88494	86832	86983	80773	77326
269	97951	78944	77303	77433	71440	69293
26	65737	53905	53610	53610	52410	51693
270	93995	77908	76548	76505	71060	67169
271	71376	58008	57086	57073	53967	53475
272	98538	80074	78679	78758	73998	72720
273	84201	69855	68574	68645	64339	62399
274	101596	85654	83833	83915	76890	75753
275	86413	70653	69297	69471	64601	59544
276	98546	82754	81528	81381	75674	71690
277	116009	94787	92621	92915	85286	83304
278	88938	75298	74038	74110	68144	62483
279	92617	77000	75853	75725	69301	63181
27	107996	89640	88492	88552	83063	78804
280	90093	72765	70902	71148	64945	63183
281	107423	86259	84987	84879	79726	77142
282	83455	70082	68944	69062	63758	56076
283	75393	62858	61509	61649	56352	54440
284	87228	70951	69806	69799	65306	62499
285	72734	57705	56669	56772	52679	51503
